Nombre,Ingredientes,Pasos
tarta de pollo y verduras,1 disco de masa de tarta 1 suprema de pollo 1 rama de puerro 1 zucchini 1 zanahoria ½ berenjena 1 huevo 1 cucharada postre de nuez moscada ½ cucharada postre de cúrcuma 1 cucharada postre de tomillo,1 Para empezar con la preparación de la tarta de pollo y verduras hierve el pollo con la parte verde del puerro y la zanahoria pelada y cortada en rodajas. Esto proporcionará sabor al pollo mientras que aprovechamos para cocinar parte de las verduras que usaremos en la receta. Truco: también puedes agregar un diente de ajo cebolla o repollo. 2 Lava y corta la berenjena y el zapallito en cubos. Saltea con una cucharadita de aceite hasta que estén doradas. Si el salteado se pega y las verduras todavía están muy crocantes puedes agregar una cucharada de agua caliente y repetir hasta que estén tiernas. Truco: el tamaño dependerá del tiempo de cocción que tengas disponible a más grande más tiempo así como de la textura que te gusta sentir en el relleno. 3 Pasado el tiempo de cocción del pollo desmenúzalo con ayuda de un tenedor y mézclalo con las verduras salteadas. Pica también la parte verde del puerro que utilizaste para dar sabor durante el hervor. Condimenta al gusto con la cúrcuma tomillo y nuez moscada. En este caso no añado sal porque el sabor de los condimentos y las verduras me resulta suficiente pero puedes hacerlo si lo prefieres. 4 Cuando pruebes el relleno y te guste añade el huevo. Recuerda que luego no deberías probarlo ya que es riesgo para la salud comer huevo crudo. Integra y reserva el relleno de tu tarta de pollo y verduras. 5 Engrasa el molde donde deseas cocinar la tarta y cúbrelo con la masa. Rellena y cocina en el horno pre calentado a 200-220 ºC por unos 25-30 minutos hasta que la masa esté dorada. Si lo deseas puedes agregar queso fresco encima para que se dore y gratine. ¡A comer! Cuéntanos si la pruebas y comparte la fotografía del resultado final.
tarta de coliflor y salsa blanca,1 rama de coliflor ½ taza de leche (120 mililitros) 1 cucharada sopera de manteca 1 cucharada sopera de harina 1 cucharada postre de nuez moscada 1 huevo ½ cucharada postre de ajo en polvo ½ cucharada postre de pimienta 1 disco de tarta 3 cucharadas soperas de queso rallado,1 Cocina la coliflor. Para ello retira el cabo y lleva a un plato apto para microondas envuelto en film. Cocínalo por unos 5 minutos o hasta que esté tierno. 2 Por otro lado calienta una sartén con la cucharada de manteca. Cuando esté derretida agrega la harina y mezcla hasta formar una pasta. 3 Agrega la leche de una vez y remueve hasta que espese así tendrás tu salsa blanca. Si deseas hacerla sin manteca entonces calienta la mitad de la leche y en la mitad fría disuelve una cucharada colmada de maicena. Agrega a la leche caliente y revuelve con el fuego bajo hasta que espese. 4 Pica el coliflor cuando esté frío y mézclalo con la salsa blanca. Condimenta al gusto con la nuez moscada pimienta y ajo en polvo. También puedes agregar otros condimentos como ají molido sal o cúrcuma. Pruébalo y corrige si es necesario. Cuando te guste agrega el huevo y mezcla. 5 Cubre el molde donde deseas cocinar la tarta con aceite y rellena con el coliflor y la salsa blanca. En este caso es un molde de 24 centímetros de diámetro. 6 Haz un repulgue en los bordes para que queden más prolijos y esparce el queso rallado sobre la base para que se gratine. Cocina tu tarta en el horno pre calentado a 200-220 ºC por unos 20-30 minutos o hasta que la masa esté ligeramente dorada y el queso gratinado. 7 Reserva hasta que se entibie un poco antes de desmoldarla o sírvela desde el molde. ¡A comer! Cuéntanos si la pruebas y comparte la foto del resultado final.
tarta de pollo y champinones,1 disco de masa de tarta 1 pechuga de pollo 2 ramas de puerro 1 cebolla 1 cucharada postre de ajo en polvo ½ cucharada postre de pimienta 25 centímetros cúbicos de leche 2 cucharadas soperas de maicena 1 lata de champiñones 1 huevo,1 Para empezar con la preparación de la tarta o pastel de pollo y champiñones pela y pica la cebolla blanca. También lava y pica el puerro tanto su parte blanca como verde descarta la raíz. 2 Saltea las verduras con una cucharadita de aceite y el fuego alto. Si el salteado se seca añade una cucharada de agua caliente y repite tantas veces como sea necesario hasta que estén cocidas. 3 Cuando la cebolla esté dorada llévala a los costados y agrega la pechuga fileteada en unas 3 partes. Gríllala por ambos lados sin preocuparte porque se cocine del todo o retirarle los huesos haremos esto más adelante. 4 Cuando el pollo esté dorado agrega suficiente líquido para cubrirlos y los champiñones. Condimenta a gusto con el ajo y la pimienta. Cocina por unos 20 minutos. 5 Retira el pollo y pícalo retirando los huesos y cartílagos cuidadosamente. 6 Llévalo nuevamente a la sartén con las verduras y agrega la leche con la maicena disuelta en ella mientras está fría. Revuelve hasta que espese y apaga el fuego. 7 Cuando el relleno esté frío pruébalo y corrige el sabor de ser necesario. Luego añade el huevo. 8 Engrasa el molde donde deseas cocinar tu tarta de pechuga de pollo y agrega la masa. Rellena tu tarta de pollo y champiñones. Hazle un repulgue a los bordes y cocínala en el horno precalentado a 200-220 ºC por unos 20-30 minutos hasta que la masa esté ligeramente dorada y el huevo coagulado. 9 Sirve la tarta de pollo fácil. ¡A comer! Cuéntanos si la pruebas y comparte la foto del resultado final.
tarta de brocoli y atun,1 planta de brócoli 1 cebolla 120 gramos de lomitos de atún al natural ¼ morrón rojo 2 huevos 1 cucharada postre de cúrcuma 1 pizca de ají molido 1 disco de masa de tarta 2 cucharadas soperas de pan rallado avena o polenta,1 El primer paso para la preparación de la tarta de brócoli fácil consiste en pelar y picar la cebolla para saltearla en una sartén a fuego máximo con 1 cucharada de aceite. 2 Cuando la cebolla transparente baja el fuego al medio y añade el morrón previamente lavado y picado sin las semillas ni las nervaduras blancas. Saltea las verduras hasta que el morrón esté bien cocido y la cebolla caramelizada. Si el salteado se está secando puedes añadir 1 cucharada de agua caliente para levantar el fondo de cocción. 3 Por otro lado cocina el brócoli separando cada arbolito y disponiéndolo parado con la flor hacia arriba en un recipiente apto para microondas y 2 cucharadas de agua. Cocínalo tapado por 2 minutos. Mientras pela el tallo hasta alcanzar la parte más blanda. Córtala en cubos pequeños y cocínalos con otras 2 cucharadas de agua por unos 5 minutos. Pica las flores del brócoli y mézclalas con las verduras salteadas y los lomitos de atún escurridos. 4 Condimenta al gusto con la cúrcuma y el ají molido. Cuando pruebes el relleno y te guste añade los huevos. 5 Dispón la masa de tarta en el molde donde deseas cocinarla debe estar engrasado para que no se pegue. Cubre la base con polenta pan rallado o avena para asegurar que quede crocante más allá de la humedad del relleno. Agrega la mezcla de brócoli y atún y cierra tu tarta para cocinarla en el horno precalentado a 200-220 ºC por unos 20 minutos o hasta que la masa tome un ligero color dorado. Truco: si lo deseas puedes agregar encima unos cubos de mozzarella o queso fresco para que se derrita y gratine en el horno. 6 Sirve la tarta de brócoli y atún. ¡A comer! Cuéntanos si la pruebas y comparte la foto del resultado final.
tarta de atun y tomate,1 disco de masa de tarta 250 gramos de lomitos de atún al natural 1 cebolla grande ¼ morrón rojo 1 cucharada sopera de extracto de tomate 2 cucharadas soperas de polenta pan rallado o avena 1 huevo 1 pizca de ají molido 1 cucharadita de orégano 1 cucharadita de pimienta,1 Para empezar con la preparación de la tarta de atún y tomate pela y pica la cebolla. Saltéala con una cucharada de aceite en una sartén a fuego máximo. Cuando transparente añade el morrón también limpio y picado sin semillas ni nervaduras blancas. Baja el fuego al medio y continúa salteando hasta que estén bien cocidas. Si el salteado se está secando añade una cucharada de agua caliente para levantar el fondo de cocción. 2 Cuando las verduras estén bien cocidas añade la cucharada de extracto de tomate. Si no tienes este ingrediente puedes reemplazarlo por un tomate rallado y cocinarlo por unos 10 minutos hasta que se evapore su líquido. 3 Retira el salteado del fuego para añadir los lomitos de atún previamente escurridos del líquido en el que están sumergidos en la lata condimenta al gusto con el ají molido pimienta y orégano. Prueba el relleno de tu tarta de atún y tomate y si te gusta añade el huevo. 4 En el molde donde desees cocinar engrasa la superficie y dispón la masa para la tarta de atún. Cubre la base con polenta pan rallado o avena así la masa se mantiene crocante. Agrega el relleno de tomate y atún y haz un cierre. Cocínala en el horno precalentado a 200-220 ºC por unos 20 minutos hasta que coagule el huevo y la masa tome un color dorado. 5 Sirve la tarta de atún y tomate. ¡A comer! Cuéntanos si la pruebas y comparte la foto del resultado final.
tarta de pollo y queso,1 disco de masa para tarta 300 gramos de suprema de pollo 100 gramos de queso muzzarella o cremoso 100 gramos de queso cheddar 2 cebollas de verdeo 1 cebolla 1 zanahoria ½ copa de vino blanco 2 cucharadas soperas de aceite 1 huevo,1 Limpia la suprema retirando excesos de grasa o piel que pueda tener. Luego corta en cubos no muy grandes. 2 A continuación pela y ralla la zanahoria. 3 Posteriormente pela y pica la cebolla. También lava la cebolla de verdeo y pica la parte blanca. 4 Pica por separado las hojas de la cebolla de verdeo y reserva. 5 Calienta una cucharada sopera de aceite en una sartén y rehoga la cebolla y la zanahoria. También retira las verduras de la sartén y reserva. 6 Agrega otra cucharada de aceite a la sartén y cocina el pollo a fuego fuerte. Cuando se haya dorado vierte el vino blanco para levantar el fondo de cocción. Baja a fuego medio y cuando evapore el alcohol vuelve a incorporar las verduras. Deja unos minutos más hasta que se cocine la suprema. Si es necesario puedes ir agregando un poquito de agua o caldo para que no se pegue. Truco: no agregues demasiado líquido para que luego no humedezca la masa de la tarta. 7 Coloca la preparación en un bol. Espera que baje la temperatura e incorpora los quesos. En este caso utilizamos queso cheddar fundido. Si lo consigues en fetas o en un trozo córtalo en cubos como la muzzarella. 8 Prueba el sabor y si es necesario agrega sal y pimienta. Cuando esté al gusto bate ligeramente el huevo y añádelo a la preparación. Truco: no es recomendable consumir huevo crudo por eso siempre prueba el sabor del relleno antes de incorporarlo. 9 Precalienta el horno a 180 ºC y forra la tartera con el disco de masa para la tarta de pollo y verduras. 10 Rellena y lleva al horno por 25/30 minutos hasta que esté cocida. 11 Cuando la tarta de pollo argentina esté lista retira del horno y espolvorea con las hojas de cebolla de verdeo cruda picadas. Deja enfriar unos minutos corta y sirve. ¡A comer! Comparte en comentarios tu opinión sobre esta receta.
pastel de pan de molde con jamon york y queso al horno,12 rebanadas de pan de molde 12 lonchas de jamón de York 8 lonchas de queso que funda bien 2 huevos 300 mililitros de leche (1¼ tazas) 1 pizca de nuez moscada 1 pellizco de sal 1 nuez de mantequilla 80 gramos de queso rallado,1 Para preparar nuestro pastel salado de jamón York y queso comenzamos untando con la mantequilla la base y las paredes de una fuente rectangular que sea apta para el horno. 2 Cubrimos la base con la mitad de las rebanadas de pan de molde. El que yo puse es integral pero puedes utilizar el que tengas en casa. Intentamos que no queden huecos vacíos. Si es necesario podemos cortar trozos de pan para cubrirlos. Truco: El número de rebanadas de pan que sea necesario puede variar en función del tamaño de las rebanadas y del tamaño de la fuente a usar. 3 Colocamos encima la mitad de las lonchas de jamón de york cubrimos con las lonchas de queso y colocamos el resto de las lonchas de jamón de york. Truco: El jamón de york se puede cambiar por lonchas de pavo o pollo o el embutido que más te guste o tengas en casa. 4 Por último cubrimos el pastel de pan bimbo salado con el resto de las rebanadas de pan de molde procurando no dejar huecos. 5 En una jarra o un bol batimos ligeramente los huevos como si fuésemos a hacer tortilla añadimos la leche la nuez moscada y la sal y mezclamos bien. 6 Echamos la mezcla sobre la rebanadas superiores de pan de molde procurando que todas se empapen bien. Y espolvoreamos el pastel frío de pan bimbo con jamón York y queso por encima con queso rallado. 7 Introducimos el pastel de jamón y queso con pan bimbo al horno precalentado a 180 ºC y horneamos hasta que el queso esté fundido y el huevo esté cuajado y no quede líquido. 8 Podemos servir inmediatamente el pastel de pan de molde con jamón York y queso al horno o dejarlo preparado con antelación. En este caso cortamos porciones las calentamos en el microondas para que el queso del interior se funda de nuevo y servimos. Acompañado de una buena ensalada o unas patatas al horno. tendremos una cena o comida informal muy completa y rica.No olvidéis visitar mi blog Los dulces secretos de Cuca.
pastel de puerros bacon y hojaldre,1 pieza de muslo de pavo 2 puerro 2 cebolleta 8 lonchas de bacon ahumado 1 cucharada sopera de mantequilla 1 cucharadita de tomillo fresco 1 pimiento verde 1 hoja de hojaldre fresco 2 cucharadas soperas de harina 2 vasos de caldo de ave 4 tazas de guisantes 2 dientes de ajo 3 castañas cocidas y peladas 1 huevo,1 Vamos a empezar por preparar el plato desde el principio porque no todos hemos cocinado pavo durante las navidades. De modo que si no tenemos sobras de pavo debemos sellar el muslo de pavo en una olla con aceite de oliva sal y pimienta negra molida. Dejamos que se dore por todas las partes y retiramos. 2 En esa misma olla agregamos la cebolleta y el pimiento verde cortados en trozos grandes junto con los ajos pelados y dejamos que se cocinen a fuego medio durante 4 minutos. 3 Volvemos a poner el muslo de pavo en la olla y añadimos el tomillo fresco. 4 Agregamos caldo de ave hasta cubrir todos los ingredientes y dejamos cocinar el pavo durante 1 hora y media a fuego medio. Cuando el pavo esté listo sacaremos la carne y colaremos el caldo (que vamos a utilizar más adelante). 5 Para seguir con esta receta de pastel de puerros ponemos una sartén al fuego con mantequilla. Cuando esté caliente añadimos el bacon dejamos que se dore un poco e incorporamos los puerros cortados en trozos no muy pequeños así como la cebolleta. Ponemos un poco más de tomillo fresco y dejamos cocinar durante 10-15 minutos a fuego suave. 6 Una vez cocinado el pavo deshuesamos el muslo y separamos la carne que quedará tierna y se podrá deshilachar con las manos. Añadimos la carne de pavo al sofrito de puerros y movemos para que se integren los ingredientes. 7 Agregamos la harina a nuestra base para pastel de puerros movemos bien para que se cocine durante un par de minutos y cubrimos con el caldo de cocción del pavo. Dejamos cocinar durante 10 minutos más y pasado este tiempo colamos todo el relleno de puerros pavo y bacon y reservamos la salsa. Esta salsa espesa será la que acompañe el pastel de puerros y bacon. 8 Para que el hojaldre quede aún más bueno lo extendemos en una superficie plana y desmenuzamos unas cuantas castañas asadas sobre él. Volvemos a amasar el hojaldre para que se queden los trocitos de castaña incrustados. Ponemos el relleno de nuestro pastel en una fuente para horno y cubrimos por encima con el hojaldre tapando toda la fuente. Pintamos el pastel de puerros y bacon con un poco de huevo batido por encima pinchamos el hojaldre para que no se hinche y metemos el pastel al horno a 190 ºC unos 15-20 minutos hasta que el hojaldre esté dorado. 9 Para acompañar este pastel de puerros bacon y hojaldre salteamos unos guisantes cocidos con un poco de mantequilla sal y pimienta negra molida. Servimos el pastel con la salsa de cocción del pavo.
quiche de puerros y champinones,1 lámina de hojaldre 1 cebolla 1 puerro 200 gramos de champiñones 3 huevos 200 mililitros de nata 200 mililitros de crema de leche (Ideal) 4 cucharadas soperas de aceite 1 pizca de pimienta 1 cucharadita de sal 500 gramos de legumbres secas,1 Precalentamos el horno a 180 grados. Untamos con mantequilla un molde para quiche lo forramos con la masa de hojaldre y pinchamos la base con un tenedor. Cubrimos la base con un papel vegetal colocamos encima las legumbres la metemos al horno y mantenemos durante 15 minutos. 2 Ponemos una sartén al fuego con el aceite pelamos y picamos la cebolla el puerro en juliana y los freímos hasta que los veamos transparentes añadimos los champiñones laminados y cuando veamos que está todo blandito retiramos del fuego y dejamos enfriar. 3 Batimos los huevos la nata líquida y la crema de leche en un bol y añadimos la sal y la pimienta. 4 Echamos las verduras de la quiche de puerros y champiñones al bol y mezclamos todo bien. Retiramos las legumbres y el papel vegetal del molde con la masa y vertemos el preparado del bol. 5 Metemos la quiche de puerros y champiñones al horno y mantenemos durante 35 minutos aproximadamente o hasta que al pinchar con una brocheta en el centro esta salga limpia.En mi blog La Cocina de Catina podrás encontrar muchas más opciones para hacer quiches caseras.
quiche de espinacas queso de cabra y pasas,400 gramos de espinacas 2 cebollas 1 puñado de pasas 1 rulo queso de cabra 200 mililitros de nata para cocinar 1 pastilla de caldo de verduras concentrado 1 chorro de vino blanco 1 cucharadita de pimentón ahumado 1 pellizco de pimienta negra 1 pizca de sal 2 huevos 1 lámina de masa quebrada 1 chorro de aceite de oliva virgen extra,1 Comenzamos limpiando y lavando las espinacas y las ponemos en una cazuela con agua que llevamos al fuego donde las tendremos hasta que cambien de color y adquieran un verde más oscuro. Retiramos escurrimos y reservamos. 2 Mientras pelamos las cebollas y las partimos en juliana (tiras). En una sartén ponemos un poco de aceite de oliva y lo calentamos. Cuando esté caliente añadimos la cebolla y la vamos salteando. Una vez esté transparente añadimos las espinacas y el caldo de verduras desmenuzado. Removemos bien y añadimos un chorro generoso de vino blanco pimentón ahumado y pimienta. Dejamos cocinar removiendo de vez en cuando. Truco: Si fuera necesario y para terminar de hacer la cebolla y las espinacas podemos añadir más vino o un chorrito de agua. 3 Cuando las espinacas y las cebollas estén casi hechas añadimos la crema de leche o nata líquida removemos bien y dejamos al fuego unos minutos más. Probamos y si fuera necesario rectificamos de sal. Vertemos el relleno de la quiche de espinacas y queso de cabra en un bol y añadimos un puñado de pasas. Batimos los huevos un poco y los agregamos también. Mezclamos muy bien y reservamos. 4 Extendemos la lámina de masa quebrada y la ponemos en nuestro molde para quiches. Vertemos el relleno nivelamos con ayuda de una espátula y cortamos el rulo de queso de cabra en medallones que distribuimos por la superficie de la tarta de espinacas y queso. Introducimos en el horno precalentado a 180 ºC y horneamos durante 25 minutos o hasta que veamos que ha cuajado. Truco: Dejad el papel que recubre la lámina de masa quebrada y os facilitará enormemente el desmoldado. 5 Una vez horneada ya podemos comer la quiche de espinacas queso de cabra y pasas al momento o bien esperar a que se enfríe por completo taparla con film transparente y guardarla en la nevera. Se calienta muy bien con un golpe de microondas. ¡Buen provecho!Para encontrar más ideas no te pierdas mi blog Los dulces secretos de Cuca ¡te esperan muchas más recetas!
